workload,target,run,operations,wall_ms,p50_us,p99_us,ops_per_sec,durable,not_run,protocol_path,miss_rate
analytical:count_star,postgres,1,31,24.271,756.0,1054.8,1277.2,false,,simple,n/a
analytical:group_by_cur,postgres,1,31,78.384,2464.8,4163.2,395.5,false,,simple,n/a
analytical:group_by_acct,postgres,1,31,205.054,6405.0,8468.0,151.2,false,,simple,n/a
analytical:top_ten_by_sum,postgres,1,31,153.650,4792.6,5605.5,201.8,false,,simple,n/a
analytical:count_distinct_acct,postgres,1,31,75.593,2418.5,2718.9,410.1,false,,simple,n/a
analytical:sum_negative,postgres,1,31,40.044,1279.4,1361.9,774.1,false,,simple,n/a
analytical:group_by_cur,nilestream,1,31,17.322,560.6,627.5,1789.6,false,,simple,n/a
analytical:group_by_acct,nilestream,1,31,184.109,5751.5,8956.6,168.4,false,,simple,n/a
analytical:top_ten_by_sum,nilestream,1,31,125.981,4061.7,4444.5,246.1,false,,simple,n/a
analytical:sum_negative,nilestream,1,31,19.544,627.8,791.5,1586.2,false,,simple,n/a
analytical:count_star,postgres,2,31,23.929,771.4,845.4,1295.5,false,,simple,n/a
analytical:group_by_cur,postgres,2,31,81.834,2569.3,3560.9,378.8,false,,simple,n/a
analytical:group_by_acct,postgres,2,31,188.898,5979.0,7423.1,164.1,false,,simple,n/a
analytical:top_ten_by_sum,postgres,2,31,141.059,4615.4,4981.0,219.8,false,,simple,n/a
analytical:count_distinct_acct,postgres,2,31,76.859,2408.2,2998.8,403.3,false,,simple,n/a
analytical:sum_negative,postgres,2,31,40.582,1304.2,1443.4,763.9,false,,simple,n/a
analytical:group_by_cur,nilestream,2,31,17.307,544.6,701.4,1791.2,false,,simple,n/a
analytical:group_by_acct,nilestream,2,31,183.918,5832.4,7932.2,168.6,false,,simple,n/a
analytical:top_ten_by_sum,nilestream,2,31,123.773,3924.8,4446.3,250.5,false,,simple,n/a
analytical:sum_negative,nilestream,2,31,18.198,575.2,750.7,1703.5,false,,simple,n/a
analytical:count_star,postgres,3,31,24.528,772.2,897.3,1263.8,false,,simple,n/a
analytical:group_by_cur,postgres,3,31,75.337,2415.3,2639.9,411.5,false,,simple,n/a
analytical:group_by_acct,postgres,3,31,190.763,6112.4,6819.6,162.5,false,,simple,n/a
analytical:top_ten_by_sum,postgres,3,31,145.376,4656.8,5140.5,213.2,false,,simple,n/a
analytical:count_distinct_acct,postgres,3,31,75.254,2410.6,2649.6,411.9,false,,simple,n/a
analytical:sum_negative,postgres,3,31,42.747,1320.8,2059.0,725.2,false,,simple,n/a
analytical:group_by_cur,nilestream,3,31,16.423,524.5,612.1,1887.6,false,,simple,n/a
analytical:group_by_acct,nilestream,3,31,182.905,5890.7,6791.8,169.5,false,,simple,n/a
analytical:top_ten_by_sum,nilestream,3,31,121.708,3888.1,4288.3,254.7,false,,simple,n/a
analytical:sum_negative,nilestream,3,31,18.628,569.3,868.3,1664.2,false,,simple,n/a
analytical:count_star,postgres,4,31,23.291,738.9,823.6,1331.0,false,,simple,n/a
analytical:group_by_cur,postgres,4,31,72.940,2393.4,2751.1,425.0,false,,simple,n/a
analytical:group_by_acct,postgres,4,31,181.453,5877.3,6903.6,170.8,false,,simple,n/a
analytical:top_ten_by_sum,postgres,4,31,144.454,4615.6,5416.1,214.6,false,,simple,n/a
analytical:count_distinct_acct,postgres,4,31,76.659,2444.2,2759.8,404.4,false,,simple,n/a
analytical:sum_negative,postgres,4,31,41.847,1336.5,1504.4,740.8,false,,simple,n/a
analytical:group_by_cur,nilestream,4,31,17.021,534.7,669.8,1821.3,false,,simple,n/a
analytical:group_by_acct,nilestream,4,31,203.521,6401.0,8569.7,152.3,false,,simple,n/a
analytical:top_ten_by_sum,nilestream,4,31,127.883,4028.4,4865.7,242.4,false,,simple,n/a
analytical:sum_negative,nilestream,4,31,17.947,575.2,693.8,1727.3,false,,simple,n/a
analytical:count_star,postgres,5,31,26.398,849.0,989.5,1174.3,false,,simple,n/a
analytical:group_by_cur,postgres,5,31,76.975,2433.3,3037.3,402.7,false,,simple,n/a
analytical:group_by_acct,postgres,5,31,196.426,6304.0,7126.1,157.8,false,,simple,n/a
analytical:top_ten_by_sum,postgres,5,31,143.394,4567.8,4969.2,216.2,false,,simple,n/a
analytical:count_distinct_acct,postgres,5,31,76.570,2408.0,3685.3,404.9,false,,simple,n/a
analytical:sum_negative,postgres,5,31,40.629,1297.9,1775.8,763.0,false,,simple,n/a
analytical:group_by_cur,nilestream,5,31,17.190,551.0,682.7,1803.3,false,,simple,n/a
analytical:group_by_acct,nilestream,5,31,182.826,5861.2,8026.7,169.6,false,,simple,n/a
analytical:top_ten_by_sum,nilestream,5,31,123.657,3874.5,5866.0,250.7,false,,simple,n/a
analytical:sum_negative,nilestream,5,31,17.936,576.8,667.8,1728.4,false,,simple,n/a
