workload,target,run,operations,wall_ms,p50_us,p99_us,ops_per_sec,durable,not_run,protocol_path,miss_rate
analytical,postgres,1,124,527.044,5457.5,7102.1,235.3,false,,simple,n/a
analytical,nilestream,1,124,278.825,3055.3,4817.2,444.7,false,,simple,n/a
analytical,postgres,2,124,533.288,5281.9,8143.0,232.5,false,,simple,n/a
analytical,nilestream,2,124,288.041,3075.0,6467.0,430.5,false,,simple,n/a
analytical,postgres,3,124,509.120,5278.5,7442.4,243.6,false,,simple,n/a
analytical,nilestream,3,124,281.017,3093.5,4492.8,441.3,false,,simple,n/a
analytical,postgres,4,124,559.024,5935.9,7571.9,221.8,false,,simple,n/a
analytical,nilestream,4,124,286.303,3112.2,5780.2,433.1,false,,simple,n/a
analytical,postgres,5,124,522.892,5353.6,7229.1,237.1,false,,simple,n/a
analytical,nilestream,5,124,275.183,3081.0,5464.7,450.6,false,,simple,n/a
