workload,target,run,operations,wall_ms,p50_us,p99_us,ops_per_sec,durable,not_run,protocol_path,miss_rate
durable,postgres,1,125,17.888,139.0,284.9,6987.8,true,,simple,n/a
durable,nilestream,1,125,21.998,169.3,323.6,5682.4,true,,simple,n/a
durable,postgres,2,125,20.179,155.2,256.3,6194.6,true,,simple,n/a
durable,nilestream,2,125,25.211,192.3,292.4,4958.2,true,,simple,n/a
durable,postgres,3,125,19.524,148.1,209.3,6402.2,true,,simple,n/a
durable,nilestream,3,125,26.721,174.6,1250.1,4678.0,true,,simple,n/a
durable,postgres,4,125,18.115,138.5,208.5,6900.4,true,,simple,n/a
durable,nilestream,4,125,24.721,192.1,279.6,5056.4,true,,simple,n/a
durable,postgres,5,125,22.077,171.6,268.9,5662.0,true,,simple,n/a
durable,nilestream,5,125,23.674,178.3,311.2,5280.0,true,,simple,n/a
