workload,target,run,operations,wall_ms,p50_us,p99_us,ops_per_sec,durable,not_run,protocol_path,miss_rate
oltp,postgres,1,2000,1057.749,176.6,654.1,1890.8,true,,simple,n/a
oltp,nilestream,1,2000,451.186,205.8,425.4,4432.8,true,,simple,n/a
oltp,postgres,2,2000,442.614,201.4,444.4,4518.6,true,,simple,n/a
oltp,nilestream,2,2000,383.788,171.8,374.3,5211.2,true,,simple,n/a
oltp,postgres,3,2000,392.904,177.1,402.8,5090.3,true,,simple,n/a
oltp,nilestream,3,2000,430.926,205.8,355.1,4641.2,true,,simple,n/a
oltp,postgres,4,2000,398.439,168.0,412.5,5019.6,true,,simple,n/a
oltp,nilestream,4,2000,411.714,193.9,371.6,4857.7,true,,simple,n/a
oltp,postgres,5,2000,466.077,210.1,561.0,4291.1,true,,simple,n/a
oltp,nilestream,5,2000,402.043,183.5,391.6,4974.6,true,,simple,n/a
oltp,postgres,6,2000,445.157,199.2,450.1,4492.8,true,,simple,n/a
oltp,nilestream,6,2000,414.127,184.2,457.3,4829.4,true,,simple,n/a
oltp,postgres,7,2000,413.778,187.5,413.4,4833.5,true,,simple,n/a
oltp,nilestream,7,2000,488.315,230.0,421.5,4095.7,true,,simple,n/a
oltp,postgres,8,2000,487.966,224.5,490.4,4098.6,true,,simple,n/a
oltp,nilestream,8,2000,412.192,195.2,384.7,4852.1,true,,simple,n/a
oltp,postgres,9,2000,535.385,251.4,576.6,3735.6,true,,simple,n/a
oltp,nilestream,9,2000,442.904,205.6,423.1,4515.6,true,,simple,n/a
oltp,postgres,10,2000,439.396,199.1,480.2,4551.7,true,,simple,n/a
oltp,nilestream,10,2000,408.082,190.3,345.2,4901.0,true,,simple,n/a
