workload,target,run,operations,wall_ms,p50_us,p99_us,ops_per_sec,durable,not_run,protocol_path,miss_rate
point,postgres,1,2000,143.404,66.8,114.3,13946.6,false,,simple,n/a
point,nilestream,1,2000,96.736,35.6,219.5,20674.8,false,,simple,0.1414
point,postgres,2,2000,156.219,68.2,127.3,12802.5,false,,simple,n/a
point,nilestream,2,2000,91.193,36.7,92.5,21931.4,false,,simple,0.1444
point,postgres,3,2000,156.549,67.8,167.1,12775.5,false,,simple,n/a
point,nilestream,3,2000,91.064,36.7,86.1,21962.5,false,,simple,0.1528
point,postgres,4,2000,143.256,66.7,107.0,13961.1,false,,simple,n/a
point,nilestream,4,2000,97.039,37.0,119.7,20610.2,false,,simple,0.1593
point,postgres,5,2000,145.022,67.5,118.2,13791.0,false,,simple,n/a
point,nilestream,5,2000,91.527,36.9,94.3,21851.5,false,,simple,0.1429
point,postgres,6,2000,144.683,66.6,126.7,13823.3,false,,simple,n/a
point,nilestream,6,2000,97.191,36.9,98.9,20578.1,false,,simple,0.1479
point,postgres,7,2000,147.365,67.2,124.2,13571.8,false,,simple,n/a
point,nilestream,7,2000,89.991,36.2,97.0,22224.6,false,,simple,0.1434
point,postgres,8,2000,151.757,69.0,125.2,13179.0,false,,simple,n/a
point,nilestream,8,2000,95.891,38.1,98.8,20856.9,false,,simple,0.1558
point,postgres,9,2000,153.085,68.5,134.9,13064.7,false,,simple,n/a
point,nilestream,9,2000,37.677,11.2,66.5,53082.4,false,,simple,0.1578
point,postgres,10,2000,145.959,68.4,114.2,13702.5,false,,simple,n/a
point,nilestream,10,2000,90.905,37.2,91.7,22001.0,false,,simple,0.1384
