workload,target,run,operations,wall_ms,p50_us,p99_us,ops_per_sec,durable,not_run,protocol_path,miss_rate
report,postgres,1,200,1390.857,6796.2,9809.3,143.8,false,,simple,n/a
report,nilestream,1,200,497.454,2376.3,3809.8,402.0,false,,simple,n/a
report,postgres,2,200,1327.257,6550.2,8363.0,150.7,false,,simple,n/a
report,nilestream,2,200,526.225,2395.4,4075.3,380.1,false,,simple,n/a
report,postgres,3,200,1409.668,6523.9,11928.1,141.9,false,,simple,n/a
report,nilestream,3,200,467.367,2288.6,3264.2,427.9,false,,simple,n/a
report,postgres,4,200,1336.838,6534.3,10024.0,149.6,false,,simple,n/a
report,nilestream,4,200,482.165,2327.7,3317.7,414.8,false,,simple,n/a
report,postgres,5,200,1315.192,6517.1,7676.9,152.1,false,,simple,n/a
report,nilestream,5,200,531.598,2586.4,3412.8,376.2,false,,simple,n/a
report,postgres,6,200,1400.101,6962.1,8738.4,142.8,false,,simple,n/a
report,nilestream,6,200,494.679,2318.2,3821.2,404.3,false,,simple,n/a
report,postgres,7,200,1327.848,6537.3,7705.6,150.6,false,,simple,n/a
report,nilestream,7,200,499.321,2418.7,3330.5,400.5,false,,simple,n/a
report,postgres,8,200,1505.086,7333.4,9731.7,132.9,false,,simple,n/a
report,nilestream,8,200,532.167,2461.4,4060.0,375.8,false,,simple,n/a
report,postgres,9,200,1340.450,6614.6,7898.9,149.2,false,,simple,n/a
report,nilestream,9,200,518.945,2518.9,3517.2,385.4,false,,simple,n/a
report,postgres,10,200,1348.914,6556.1,8341.2,148.3,false,,simple,n/a
report,nilestream,10,200,517.724,2445.2,3809.2,386.3,false,,simple,n/a
