workload,target,connections,run,operations,wall_ms,p50_us,p99_us,ops_per_second,durable,not_run
durable,postgres,1,1,125,20.993,138.9,282.2,5954.3,true,
durable,nilestream,1,1,125,22.436,168.8,268.8,5571.4,true,
durable,postgres,2,1,250,27.425,191.9,380.0,9115.9,true,
durable,nilestream,2,1,250,35.447,269.8,596.3,7052.8,true,
durable,postgres,4,1,500,44.702,296.0,1310.8,11185.3,true,
durable,nilestream,4,1,500,76.000,597.2,818.8,6579.0,true,
durable,postgres,1,2,125,16.133,106.8,396.4,7748.1,true,
durable,nilestream,1,2,125,27.213,184.0,861.4,4593.4,true,
durable,postgres,2,2,250,28.772,194.4,666.8,8688.9,true,
durable,nilestream,2,2,250,33.508,267.6,384.2,7461.0,true,
durable,postgres,4,2,500,38.345,261.6,1004.8,13039.5,true,
durable,nilestream,4,2,500,72.224,572.5,751.1,6922.9,true,
durable,postgres,1,3,125,18.292,134.4,243.1,6833.7,true,
durable,nilestream,1,3,125,26.500,197.6,313.8,4717.1,true,
durable,postgres,2,3,250,30.978,216.0,535.3,8070.3,true,
durable,nilestream,2,3,250,36.440,279.1,476.2,6860.5,true,
durable,postgres,4,3,500,41.065,272.1,1282.3,12175.7,true,
durable,nilestream,4,3,500,64.710,498.1,835.0,7726.7,true,
