workload,target,connections,run,operations,wall_ms,p50_us,p99_us,ops_per_second,durable,not_run
point,postgres,1,1,500,31.567,57.8,96.6,15839.3,false,
point,nilestream,1,1,500,22.811,33.2,98.1,21919.2,false,
point,postgres,2,1,1000,36.273,67.7,117.6,27568.6,false,
point,nilestream,2,1,1000,20.928,45.1,127.7,47783.2,false,
point,postgres,4,1,2000,62.864,98.9,231.9,31814.5,false,
point,nilestream,4,1,2000,51.874,76.9,291.2,38555.2,false,
point,postgres,1,2,500,31.323,57.9,95.9,15962.9,false,
point,nilestream,1,2,500,23.799,36.3,110.4,21009.5,false,
point,postgres,2,2,1000,19.476,26.3,76.6,51344.7,false,
point,nilestream,2,2,1000,18.611,14.8,107.2,53730.4,false,
point,postgres,4,2,2000,36.957,62.8,152.9,54117.5,false,
point,nilestream,4,2,2000,49.486,82.3,266.7,40415.3,false,
point,postgres,1,3,500,36.671,66.0,124.5,13634.6,false,
point,nilestream,1,3,500,23.140,35.3,100.6,21607.5,false,
point,postgres,2,3,1000,22.349,37.3,87.0,44744.4,false,
point,nilestream,2,3,1000,20.970,15.6,139.2,47686.5,false,
point,postgres,4,3,2000,38.371,64.3,156.1,52122.5,false,
point,nilestream,4,3,2000,38.890,62.5,254.6,51426.6,false,
