series,axis,base_rows,output_rows,run,ms,answer_bytes,serve_path,not_run
postgres,base,20000,10001,1,6.3313,68903,,
nilestream:cold,base,20000,10001,1,4.0179,108907,fold,
nilestream:warm,base,20000,10001,1,2.1680,108907,report-from-view,
postgres,base,200000,10001,1,31.6674,78904,,
nilestream:cold,base,200000,10001,1,14.2072,128909,fold,
nilestream:warm,base,200000,10001,1,2.2560,128909,report-from-view,
postgres,base,2000000,10001,1,190.5595,88905,,
nilestream:cold,base,2000000,10001,1,117.8057,148911,fold,
nilestream:warm,base,2000000,10001,1,2.7025,148911,report-from-view,
postgres,output,200000,1001,1,18.1269,7903,,
nilestream:cold,output,200000,1001,1,10.0050,12908,fold,
nilestream:warm,output,200000,1001,1,0.4784,12908,report-from-view,
postgres,output,200000,10001,1,31.6990,78904,,
nilestream:cold,output,200000,10001,1,14.1337,128909,fold,
nilestream:warm,output,200000,10001,1,2.3227,128909,report-from-view,
postgres,output,200000,100001,1,104.6555,788905,,
nilestream:cold,output,200000,100001,1,49.6847,1288910,fold,
nilestream:warm,output,200000,100001,1,26.9189,1288910,report-from-view,
postgres,base,20000,10001,2,7.2972,68903,,
nilestream:cold,base,20000,10001,2,4.5098,108907,fold,
nilestream:warm,base,20000,10001,2,2.4020,108907,report-from-view,
postgres,base,200000,10001,2,32.6585,78904,,
nilestream:cold,base,200000,10001,2,14.1897,128909,fold,
nilestream:warm,base,200000,10001,2,3.9940,128909,report-from-view,
postgres,base,2000000,10001,2,179.4905,88905,,
nilestream:cold,base,2000000,10001,2,117.9919,148911,fold,
nilestream:warm,base,2000000,10001,2,2.5078,148911,report-from-view,
postgres,output,200000,1001,2,18.7658,7903,,
nilestream:cold,output,200000,1001,2,9.6189,12908,fold,
nilestream:warm,output,200000,1001,2,0.2891,12908,report-from-view,
postgres,output,200000,10001,2,32.0397,78904,,
nilestream:cold,output,200000,10001,2,13.9814,128909,fold,
nilestream:warm,output,200000,10001,2,2.3112,128909,report-from-view,
postgres,output,200000,100001,2,105.1126,788905,,
nilestream:cold,output,200000,100001,2,47.0467,1288910,fold,
nilestream:warm,output,200000,100001,2,25.0114,1288910,report-from-view,
postgres,base,20000,10001,3,6.4523,68903,,
nilestream:cold,base,20000,10001,3,4.0356,108907,fold,
nilestream:warm,base,20000,10001,3,2.1665,108907,report-from-view,
postgres,base,200000,10001,3,31.3175,78904,,
nilestream:cold,base,200000,10001,3,14.2196,128909,fold,
nilestream:warm,base,200000,10001,3,2.2650,128909,report-from-view,
postgres,base,2000000,10001,3,178.2523,88905,,
nilestream:cold,base,2000000,10001,3,121.0486,148911,fold,
nilestream:warm,base,2000000,10001,3,2.5953,148911,report-from-view,
postgres,output,200000,1001,3,18.5756,7903,,
nilestream:cold,output,200000,1001,3,9.9204,12908,fold,
nilestream:warm,output,200000,1001,3,0.2978,12908,report-from-view,
postgres,output,200000,10001,3,32.1014,78904,,
nilestream:cold,output,200000,10001,3,14.5079,128909,fold,
nilestream:warm,output,200000,10001,3,2.3441,128909,report-from-view,
postgres,output,200000,100001,3,111.6235,788905,,
nilestream:cold,output,200000,100001,3,47.3304,1288910,fold,
nilestream:warm,output,200000,100001,3,25.0134,1288910,report-from-view,
