n_writes,checkpoint_interval,seed,rows_per_read
5000,0,1,120.87
5000,0,7,135.86
5000,0,42,124.53
5000,0,100,132.70
5000,0,2024,123.59
5000,256,1,45.74
5000,256,7,44.38
5000,256,42,49.40
5000,256,100,46.33
5000,256,2024,45.93
5000,64,1,19.55
5000,64,7,21.89
5000,64,42,18.24
5000,64,100,19.87
5000,64,2024,20.25
5000,16,1,6.80
5000,16,7,8.05
5000,16,42,6.69
5000,16,100,7.45
5000,16,2024,6.61
20000,0,1,487.61
20000,0,7,548.11
20000,0,42,492.18
20000,0,100,531.42
20000,0,2024,499.29
20000,256,1,70.65
20000,256,7,78.43
20000,256,42,90.04
20000,256,100,82.72
20000,256,2024,64.94
20000,64,1,26.94
20000,64,7,26.91
20000,64,42,26.14
20000,64,100,25.16
20000,64,2024,25.97
20000,16,1,7.92
20000,16,7,7.23
20000,16,42,8.31
20000,16,100,8.26
20000,16,2024,8.29
80000,0,1,1957.66
80000,0,7,2199.19
80000,0,42,1954.54
80000,0,100,2122.00
80000,0,2024,2009.78
80000,256,1,109.35
80000,256,7,107.69
80000,256,42,102.14
80000,256,100,99.57
80000,256,2024,77.50
80000,64,1,32.00
80000,64,7,26.52
80000,64,42,30.82
80000,64,100,35.69
80000,64,2024,29.95
80000,16,1,7.96
80000,16,7,7.50
80000,16,42,8.24
80000,16,100,8.17
80000,16,2024,7.94
320000,0,1,7857.15
320000,0,7,8846.37
320000,0,42,7796.25
320000,0,100,8489.00
320000,0,2024,8008.87
320000,256,1,113.89
320000,256,7,117.03
320000,256,42,123.16
320000,256,100,133.90
320000,256,2024,135.54
320000,64,1,34.38
320000,64,7,30.97
320000,64,42,31.98
320000,64,100,34.56
320000,64,2024,31.87
320000,16,1,8.14
320000,16,7,9.55
320000,16,42,8.52
320000,16,100,8.59
320000,16,2024,8.24
