budget,memory_price,resident_entry_epochs,deltas_applied,base_rows_read,cost,hit_ratio,z
250,0.0001,4939596,23418,51284,75195.960,0.5946,5.4019
250,0.0005,4939596,23418,51284,77171.798,0.5946,5.4019
250,0.002,4939596,23418,51284,84581.192,0.5946,5.4019
250,0.01,4939596,23418,51284,124097.960,0.5946,5.4019
250,0.05,4939596,23418,51284,321681.800,0.5946,5.4019
500,0.0001,9724661,26202,24224,51398.466,0.6647,2.7573
500,0.0005,9724661,26202,24224,55288.330,0.6647,2.7573
500,0.002,9724661,26202,24224,69875.322,0.6647,2.7573
500,0.01,9724661,26202,24224,147672.610,0.6647,2.7573
500,0.05,9724661,26202,24224,536659.050,0.6647,2.7573
1000,0.0001,18726937,28610,9987,40469.694,0.7241,1.2652
1000,0.0005,18726937,28610,9987,47960.469,0.7241,1.2652
1000,0.002,18726937,28610,9987,76050.874,0.7241,1.2652
1000,0.01,18726937,28610,9987,225866.370,0.7241,1.2652
1000,0.05,18726937,28610,9987,974943.850,0.7241,1.2652
2000,0.0001,33816934,30606,4283,38270.693,0.7720,0.6138
2000,0.0005,33816934,30606,4283,51797.467,0.7720,0.6138
2000,0.002,33816934,30606,4283,102522.868,0.7720,0.6138
2000,0.01,33816934,30606,4283,373058.340,0.7720,0.6138
2000,0.05,33816934,30606,4283,1725735.700,0.7720,0.6138
4000,0.0001,48032781,31571,2713,39087.278,0.7958,0.4208
4000,0.0005,48032781,31571,2713,58300.391,0.7958,0.4208
4000,0.002,48032781,31571,2713,130349.562,0.7958,0.4208
4000,0.01,48032781,31571,2713,514611.810,0.7958,0.4208
4000,0.05,48032781,31571,2713,2435923.050,0.7958,0.4208
8000,0.0001,48059324,31572,2713,39090.932,0.7958,0.4209
8000,0.0005,48059324,31572,2713,58314.662,0.7958,0.4209
8000,0.002,48059324,31572,2713,130403.648,0.7958,0.4209
8000,0.01,48059324,31572,2713,514878.240,0.7958,0.4209
8000,0.05,48059324,31572,2713,2437251.200,0.7958,0.4209
full,0.0001,48059324,31572,2713,39090.932,0.7958,0.4209
full,0.0005,48059324,31572,2713,58314.662,0.7958,0.4209
full,0.002,48059324,31572,2713,130403.648,0.7958,0.4209
full,0.01,48059324,31572,2713,514878.240,0.7958,0.4209
full,0.05,48059324,31572,2713,2437251.200,0.7958,0.4209
