zipf_s,seed,partial_peak_resident,full_peak_resident,resident_ratio,partial_hit_rate,upqueries
0.5,1,2000,17296,0.1156,0.1754,44592
0.5,7,2000,17233,0.1161,0.1776,44379
0.5,42,2000,17190,0.1163,0.1823,44136
0.5,100,2000,17194,0.1163,0.1799,44324
0.5,2024,2000,17213,0.1162,0.1791,44394
0.7,1,2000,15420,0.1297,0.3299,36233
0.7,7,2000,15339,0.1304,0.3314,36082
0.7,42,2000,15374,0.1301,0.3339,35953
0.7,100,2000,15323,0.1305,0.3331,36042
0.7,2024,2000,15273,0.1310,0.3315,36149
0.9,1,2000,12005,0.1666,0.5672,23402
0.9,7,2000,12003,0.1666,0.5641,23524
0.9,42,2000,11957,0.1673,0.5682,23310
0.9,100,2000,11946,0.1674,0.5699,23248
0.9,2024,2000,11958,0.1673,0.5673,23400
1,1,2000,9834,0.2034,0.6890,16815
1,7,2000,9761,0.2049,0.6881,16831
1,42,2000,9723,0.2057,0.6904,16712
1,100,2000,9729,0.2056,0.6912,16690
1,2024,2000,9681,0.2066,0.6900,16764
1.1,1,2000,7571,0.2642,0.7916,11269
1.1,7,2000,7511,0.2663,0.7920,11223
1.1,42,2000,7465,0.2679,0.7949,11070
1.1,100,2000,7433,0.2691,0.7959,11029
1.1,2024,2000,7425,0.2694,0.7955,11059
1.3,1,2000,3812,0.5247,0.9210,4271
1.3,7,2000,3795,0.5270,0.9209,4271
1.3,42,2000,3709,0.5392,0.9231,4149
1.3,100,2000,3754,0.5328,0.9223,4202
1.3,2024,2000,3701,0.5404,0.9231,4159
