zipf_s,budget_frac,seed,resident_entry_epochs_partial,resident_entry_epochs_full,rows_touched_partial,rows_touched_full,deltas_partial,deltas_full,hit_rate
0.5,0.01,1,298442,17547267,43504,10082,145,4040,0.0241
0.5,0.01,7,304324,18224691,44032,9993,150,4177,0.0232
0.5,0.01,42,300131,18073420,43492,9988,163,4116,0.0252
0.5,0.01,100,298415,17559969,43909,10025,137,4029,0.0229
0.5,0.01,2024,290209,16910174,43338,10077,144,3886,0.0250
0.7,0.01,1,298429,15200887,68936,8838,495,4237,0.0825
0.7,0.01,7,304308,15707087,69790,8853,514,4345,0.0842
0.7,0.01,42,300106,15612099,69285,8747,533,4341,0.0846
0.7,0.01,100,298415,15198073,70545,8839,507,4209,0.0835
0.7,0.01,2024,290146,14508963,68320,8809,500,4073,0.0839
0.9,0.01,1,298386,11560348,84302,6857,1532,4613,0.2585
0.9,0.01,7,304223,12016036,84137,6813,1543,4738,0.2595
0.9,0.01,42,300063,11914649,83102,6778,1580,4695,0.2607
0.9,0.01,100,298371,11531211,83437,6795,1579,4581,0.2617
0.9,0.01,2024,290024,11100707,85204,6831,1506,4469,0.2634
1.1,0.01,1,298284,7276091,57545,4454,3135,5091,0.5321
1.1,0.01,7,303999,7595913,60134,4376,3180,5215,0.5251
1.1,0.01,42,299849,7497585,56431,4326,3219,5139,0.5300
1.1,0.01,100,298178,7281624,55626,4351,3140,5061,0.5332
1.1,0.01,2024,289804,6959021,58019,4390,3078,4929,0.5313
1.3,0.01,1,297763,3878426,24287,2361,4553,5531,0.7645
1.3,0.01,7,303468,4041423,24555,2325,4665,5619,0.7594
1.3,0.01,42,299281,3993764,24127,2305,4669,5539,0.7635
1.3,0.01,100,297577,3885194,23259,2340,4546,5466,0.7677
1.3,0.01,2024,289292,3699634,24375,2315,4426,5338,0.7637
0.5,0.02,1,596293,17547267,41235,10082,263,4040,0.0461
0.5,0.02,7,607661,18224691,41727,9993,293,4177,0.0453
0.5,0.02,42,599074,18073420,41436,9988,305,4116,0.0456
0.5,0.02,100,595797,17559969,41721,10025,257,4029,0.0451
0.5,0.02,2024,579042,16910174,41215,10077,265,3886,0.0472
0.7,0.02,1,596229,15200887,52138,8838,795,4237,0.1322
0.7,0.02,7,607587,15707087,51518,8853,815,4345,0.1341
0.7,0.02,42,598977,15612099,51985,8747,839,4341,0.1338
0.7,0.02,100,595745,15198073,53231,8839,791,4209,0.1326
0.7,0.02,2024,578817,14508963,52986,8809,808,4073,0.1331
0.9,0.02,1,595871,11560348,49472,6857,1984,4613,0.3364
0.9,0.02,7,607214,12016036,49805,6813,2009,4738,0.3363
0.9,0.02,42,598802,11914649,48800,6778,2030,4695,0.3389
0.9,0.02,100,595349,11531211,48147,6795,2045,4581,0.3396
0.9,0.02,2024,578404,11100707,49248,6831,2003,4469,0.3423
1.1,0.02,1,594888,7276091,28343,4454,3620,5091,0.6121
1.1,0.02,7,606002,7595913,28714,4376,3676,5215,0.6024
1.1,0.02,42,597868,7497585,28332,4326,3690,5139,0.6089
1.1,0.02,100,593669,7281624,27528,4351,3613,5061,0.6122
1.1,0.02,2024,577184,6959021,28575,4390,3571,4929,0.6128
1.3,0.02,1,592119,3878426,10721,2361,4901,5531,0.8206
1.3,0.02,7,602299,4041423,10549,2325,4997,5619,0.8167
1.3,0.02,42,595376,3993764,9538,2305,4981,5539,0.8217
1.3,0.02,100,589465,3885194,10305,2340,4862,5466,0.8222
1.3,0.02,2024,573370,3699634,10326,2315,4758,5338,0.8213
0.5,0.05,1,1484276,17547267,36633,10082,568,4040,0.1012
0.5,0.05,7,1511636,18224691,36690,9993,646,4177,0.1001
0.5,0.05,42,1491027,18073420,36800,9988,623,4116,0.1024
0.5,0.05,100,1480001,17559969,36930,10025,593,4029,0.1008
0.5,0.05,2024,1437654,16910174,36620,10077,557,3886,0.1061
0.7,0.05,1,1483534,15200887,36335,8838,1326,4237,0.2252
0.7,0.05,7,1510518,15707087,36073,8853,1382,4345,0.2250
0.7,0.05,42,1490183,15612099,36181,8747,1377,4341,0.2274
0.7,0.05,100,1478782,15198073,36831,8839,1335,4209,0.2253
0.7,0.05,2024,1435674,14508963,36767,8809,1325,4073,0.2295
0.9,0.05,1,1479730,11560348,26672,6857,2678,4613,0.4530
0.9,0.05,7,1505585,12016036,27382,6813,2779,4738,0.4512
0.9,0.05,42,1487422,11914649,26767,6778,2729,4695,0.4539
0.9,0.05,100,1473511,11531211,26398,6795,2701,4581,0.4554
0.9,0.05,2024,1431362,11100707,27023,6831,2664,4469,0.4565
1.1,0.05,1,1467457,7276091,12796,4454,4213,5091,0.7070
1.1,0.05,7,1492427,7595913,13111,4376,4285,5215,0.7006
1.1,0.05,42,1476330,7497585,12987,4326,4281,5139,0.7050
1.1,0.05,100,1459014,7281624,12406,4351,4179,5061,0.7101
1.1,0.05,2024,1418428,6959021,13002,4390,4113,4929,0.7083
1.3,0.05,1,1430876,3878426,4613,2361,5265,5531,0.8756
1.3,0.05,7,1456997,4041423,4480,2325,5359,5619,0.8766
1.3,0.05,42,1445520,3993764,4323,2305,5293,5539,0.8780
1.3,0.05,100,1425269,3885194,4551,2340,5207,5466,0.8781
1.3,0.05,2024,1383678,3699634,4435,2315,5107,5338,0.8779
0.5,0.1,1,2938793,17547267,31729,10082,1031,4040,0.1779
