n_epochs,seed,indexed_rows_per_read,scan_rows_per_read,key_updates_mean
5004,1,120.87,14000.00,120.87
5004,7,135.86,14000.00,135.86
5004,42,124.53,14000.00,124.53
5004,100,132.70,14000.00,132.70
5004,2024,123.59,14000.00,123.59
20004,1,487.61,44000.00,487.61
20004,7,548.11,44000.00,548.11
20004,42,492.18,44000.00,492.18
20004,100,531.42,44000.00,531.42
20004,2024,499.29,44000.00,499.29
80004,1,1957.66,164000.00,1957.66
80004,7,2199.19,164000.00,2199.19
80004,42,1954.54,164000.00,1954.54
80004,100,2122.00,164000.00,2122.00
80004,2024,2009.78,164000.00,2009.78
320004,1,7857.15,644000.00,7857.15
320004,7,8846.37,644000.00,8846.37
320004,42,7796.25,644000.00,7796.25
320004,100,8489.00,644000.00,8489.00
320004,2024,8008.87,644000.00,8008.87
