policy,service_time,seed,misses,rows_touched,aggregate_delay
random,0,1,21208,87012,0.0
random,0,7,21242,88955,0.0
random,0,42,21149,88764,0.0
random,0,100,21021,90489,0.0
random,0,2024,21087,87814,0.0
lru,0,1,19725,41502,0.0
lru,0,7,19752,42548,0.0
lru,0,42,19583,40970,0.0
lru,0,100,19575,40909,0.0
lru,0,2024,19535,41002,0.0
cost_aware,0,1,18616,29654,0.0
cost_aware,0,7,18572,29349,0.0
cost_aware,0,42,18531,29272,0.0
cost_aware,0,100,18527,28890,0.0
cost_aware,0,2024,18439,29106,0.0
random,1,1,21208,87012,212080.0
random,1,7,21242,88955,212420.0
random,1,42,21149,88764,211490.0
random,1,100,21021,90489,210210.0
random,1,2024,21087,87814,210870.0
lru,1,1,19725,41502,197250.0
lru,1,7,19752,42548,197520.0
lru,1,42,19583,40970,195830.0
lru,1,100,19575,40909,195750.0
lru,1,2024,19535,41002,195350.0
cost_aware,1,1,19066,33976,190660.0
cost_aware,1,7,19056,34214,190560.0
cost_aware,1,42,18998,33806,189980.0
cost_aware,1,100,19004,33406,190040.0
cost_aware,1,2024,18911,33669,189110.0
random,4,1,21208,87012,3138784.0
random,4,7,21242,88955,3143816.0
random,4,42,21149,88764,3130052.0
random,4,100,21021,90489,3111108.0
random,4,2024,21087,87814,3120876.0
lru,4,1,19725,41502,2919300.0
lru,4,7,19752,42548,2923296.0
lru,4,42,19583,40970,2898284.0
lru,4,100,19575,40909,2897100.0
lru,4,2024,19535,41002,2891180.0
cost_aware,4,1,19097,34976,2826356.0
cost_aware,4,7,19088,35221,2825024.0
cost_aware,4,42,19031,34823,2816588.0
cost_aware,4,100,19041,34589,2818068.0
cost_aware,4,2024,18936,34428,2802528.0
