config,hot_share,seed,postings_per_sec,elapsed_ms
chained,0,1,1318379,91.0
chained,0,7,1316294,91.2
chained,0,42,1581407,75.9
chained,0,100,1526384,78.6
chained,0,2024,1565904,76.6
chained,0.5,1,1563921,76.7
chained,0.5,7,1793876,66.9
chained,0.5,42,1773951,67.6
chained,0.5,100,1739657,69.0
chained,0.5,2024,1554344,77.2
chained,0.9,1,1748689,68.6
chained,0.9,7,1672008,71.8
chained,0.9,42,1686866,71.1
chained,0.9,100,1603680,74.8
chained,0.9,2024,1789564,67.1
no-chain,0,1,2372486,50.6
no-chain,0,7,2417765,49.6
no-chain,0,42,2243577,53.5
no-chain,0,100,2021127,59.4
no-chain,0,2024,1893574,63.4
no-chain,0.5,1,1831124,65.5
no-chain,0.5,7,1987476,60.4
no-chain,0.5,42,2107468,56.9
no-chain,0.5,100,2109507,56.9
no-chain,0.5,2024,2392748,50.2
no-chain,0.9,1,2222726,54.0
no-chain,0.9,7,2032574,59.0
no-chain,0.9,42,2542631,47.2
no-chain,0.9,100,2409922,49.8
no-chain,0.9,2024,2202581,54.5
