rung,staleness_epochs,seed,misses,rows_touched,deltas_applied,apply_calls,hit_rate,divergences
bounded(k=64),64,1,26829,107940,2146,61,0.2544,0
bounded(k=64),64,7,26376,94887,2354,61,0.2671,0
bounded(k=64),64,42,26491,103558,2171,62,0.2632,0
bounded(k=64),64,100,26855,100129,2116,58,0.2578,0
bounded(k=64),64,2024,26644,102624,2268,62,0.2592,0
bounded(k=8),8,1,24826,75512,2471,446,0.3101,0
bounded(k=8),8,7,24700,73915,2540,445,0.3137,0
bounded(k=8),8,42,24387,73811,2514,449,0.3217,0
bounded(k=8),8,100,24785,72030,2341,424,0.3150,0
bounded(k=8),8,2024,24504,71234,2587,448,0.3187,0
strict(k=0),0,1,19658,41595,3610,4017,0.4537,0
strict(k=0),0,7,19761,41237,3628,4012,0.4509,0
strict(k=0),0,42,19449,40869,3621,4047,0.4590,0
strict(k=0),0,100,19680,40592,3440,3817,0.4561,0
strict(k=0),0,2024,19537,40783,3781,4032,0.4568,0
