n_writes,n_accounts,seed,rows_per_read,key_updates_mean,epochs
5000,500,1,203.20,203.20,5001
5000,500,7,225.86,225.86,5001
5000,500,42,210.39,210.39,5001
5000,500,100,217.89,217.89,5001
5000,500,2024,210.44,210.44,5001
20000,2000,1,487.61,487.61,20004
20000,2000,7,548.11,548.11,20004
20000,2000,42,492.18,492.18,20004
20000,2000,100,531.42,531.42,20004
20000,2000,2024,499.29,499.29,20004
80000,8000,1,1226.79,1226.79,80016
80000,8000,7,1392.19,1392.19,80016
80000,8000,42,1245.91,1245.91,80016
80000,8000,100,1324.82,1324.82,80016
80000,8000,2024,1219.30,1219.30,80016
320000,32000,1,3148.65,3148.65,320064
320000,32000,7,3655.57,3655.57,320064
320000,32000,42,3303.72,3303.72,320064
320000,32000,100,3469.01,3469.01,320064
320000,32000,2024,3105.16,3105.16,320064
